Brand,Cspeed,Cache,Cores,HT,TB,Unlocked,Lithography,SCS,MCS,Price
1,2.9,2,2,0,0,0,14,123,220,36.97
1,3,2,2,0,0,0,14,127,228,59.99
1,2.8,2,2,0,0,0,14,119,213,45.59
1,2.9,2,2,0,0,0,14,123,220,56
1,3.5,2,2,1,0,0,14,151,382,68
1,3.6,2,2,1,0,0,14,129,392,70
1,3.7,2,2,1,0,0,14,159,403,95.64
1,3.3,2,2,0,0,0,14,140,251,48.12
1,3.5,2,2,0,0,0,14,149,266,64.79
1,3.3,2,2,0,0,0,22,130,243,45.55
1,3.2,2,2,0,0,0,22,129,242,69.99
1,3.9,3,2,1,0,0,14,168,425,93.24
1,4,4,2,1,0,0,14,172,436,130.55
1,4.1,4,2,1,0,0,14,176,447,139.99
1,4.2,4,2,1,0,1,14,181,458,171.33
1,3.7,3,2,1,0,0,14,152,392,95.7
1,3.6,3,2,1,0,0,14,147,386,94
1,3.2,3,2,1,0,0,14,131,339,89.8
1,3.8,4,2,1,0,0,14,156,403,117.5
1,3.9,4,2,1,0,0,14,160,413,125.6
1,3.5,6,4,0,1,0,14,149,564,146.49
1,3.8,6,4,0,1,0,14,162,617,166.48
1,4.1,6,4,0,1,0,14,175,666,182.97
1,4.2,6,4,0,1,1,14,179,700,210
1,3.3,6,4,0,1,0,14,140,497,136
1,3.4,6,4,0,1,0,14,145,511,182
1,3.9,6,4,0,1,0,14,166,597,179.99
1,3.9,6,4,0,1,1,14,166,600,200
1,3.4,6,4,0,1,0,22,132,447,135
1,3.9,6,4,0,1,1,22,152,534,180
1,3.9,6,4,0,1,0,22,152,534,150
1,4.2,8,4,1,1,0,14,186,901,256
1,4.5,8,4,1,1,1,14,200,999,280.29
1,3.8,8,4,1,1,0,14,168,805,311.02
1,4,8,4,1,1,0,14,171,816,248
1,4.2,8,4,1,1,1,14,180,888,270
1,3.7,6,6,1,1,1,22,154,784,299
1,3.6,6,6,1,1,1,22,150,773,293
1,3.6,15,6,1,1,1,14,150,1132,432
1,3.8,15,6,1,1,1,14,152,1154,617
1,4,20,8,1,1,1,14,153,1547,1089
1,4,25,10,1,1,1,14,146,1829,1723
1,3.6,15,6,1,1,1,22,139,1085,399
1,3.7,15,6,1,1,1,22,142,1150,600
1,3.5,20,8,1,1,1,22,177,1360,989
1,4,15,6,1,1,1,22,151,1092,639
1,4.6,12,6,1,1,0,14,203,1434,346
1,4.7,12,6,1,1,1,14,208,1447,380
1,4,9,6,0,1,0,14,169,954,213
1,4,9,6,0,1,1,14,170,955,245
1,3.6,6,4,0,0,0,14,154,616,117
1,4,8,4,0,0,1,14,171,684,168
1,4.3,9,6,0,1,1,14,183,1040,250
1,4.3,13.15,10,1,1,1,14,188,2194,1100
1,4.3,16.5,12,1,1,1,14,188,2434,1300
1,4.3,19.25,14,1,1,1,14,188,2849,1500
1,4.3,22,16,1,1,1,14,184,3161,1800
1,4.3,24.75,18,1,1,1,14,184,3455,2100
0,3.45,8,4,0,1,0,14,129,477,100
0,3.5,8,4,0,1,0,14,132,485,105
0,3.9,8,4,0,1,0,14,150,602,120
0,3.9,8,4,0,1,1,14,145,553,140
0,3.45,8,4,1,1,0,14,139,731,169
0,3.9,16,6,1,1,0,14,139,731,180
0,3.9,16,6,1,1,1,14,139,731,195
0,3.7,16,6,1,1,1,14,151,1120,250
0,3.7,16,6,1,1,0,14,150,1094,205
0,3.75,16,8,1,1,0,14,151,1403,329
0,3.9,16,6,1,1,0,14,139,731,180
0,3.75,16,8,1,1,0,14,151,1403,329
0,3.9,16,8,1,1,1,14,155,1533,399
0,3.9,16,8,1,1,1,14,155,1533,399
0,4,16,8,1,1,1,14,155,1700,499
0,4.2,16,8,1,1,1,14,168,1709,530
0,4.2,25,12,1,1,1,14,168,2433,1000
0,4.2,25,16,1,1,1,14,168,2986,1400
1,2.9,2,2,0,0,0,14,123,220,37
1,2.9,2,2,0,0,0,14,123,220,56.5
0,3.9,8,4,0,1,0,14,150,555,120
1,3.3,2,2,0,0,0,22,130,242,46
1,2.9,2,2,0,0,0,14,123,222,57
1,3.5,2,2,1,0,0,14,151,384,69
1,3.3,2,2,0,0,0,22,130,244,46
0,3.9,16,8,1,1,1,14,155,1550,409
1,4.2,4,2,1,0,1,14,190,489,188
1,3.7,3,2,1,0,0,14,152,395,96.7
0,3.9,16,6,1,1,1,14,139,731,200
0,3.7,16,6,1,1,1,14,151,1120,250
0,3.9,8,6,1,1,0,14,139,731,169
0,4.2,28,12,1,1,1,14,168,2433,1000
0,4.2,28,16,1,1,1,14,168,2986,1400
1,4.1,6,4,0,1,0,14,175,670,184
1,4.2,6,4,0,1,1,14,179,705,225
1,4.2,8,4,1,1,0,14,186,899,249
1,4.5,8,4,1,1,1,14,200,995,278
1,4.3,28,20,1,1,1,14,225,4000,2500
1,4,9,6,0,1,0,14,169,950,210
1,3.4,6,4,0,1,0,22,132,440,131
1,3.9,6,4,0,1,1,22,152,530,180
1,3.9,6,4,0,1,0,22,152,530,145
1,3.9,3,2,1,0,0,14,165,420,92
1,4,4,2,1,0,0,14,170,440,133
1,4.1,4,2,1,0,0,14,175,450,142
1,4.2,4,2,1,0,1,14,180,450,170
